Current (mA) - Plot 0	Pressure (psi) - Plot 0	Current (mA) - Plot 1	Pressure (psi) - Plot 1	Current (mA) - Plot 2	Pressure (psi) - Plot 2	
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.3m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.2m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.2m	-3k					
-17.1m	-3k					
-17.2m	-3k					
-17.1m	-3k					
-17.2m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
