Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
755.3u	255.5m					
758.6u	254.4m					
748.7u	251.1m					
752u	248.7m					
765.1u	252.9m					
715.9u	254.5m					
752u	254.5m					
722.5u	256.3m					
732.3u	257.3m					
696.3u	255.7m					
742.2u	255.7m					
706.1u	255.3m					
706.1u	252.2m					
719.2u	250.6m					
696.3u	251.3m					
712.7u	255.8m					
699.5u	254.8m					
699.5u	254.3m					
693u	255.6m					
689.7u	257.4m					
676.6u	255.5m					
679.9u	254.5m					
676.6u	254.8m					
673.3u	255.5m					
679.9u	256.2m					
647.1u	261.4m					
663.5u	261.7m					
670u	260.5m					
640.5u	260.1m					
624.1u	262m					
637.2u	260.7m					
650.3u	257.2m					
630.7u	258.2m					
643.8u	258m					
624.1u	259.3m					
624.1u	263.5m					
627.4u	263.5m					
617.6u	263.8m					
614.3u	266.1m					
614.3u	266m					
604.4u	263.9m					
604.4u	263m					
611u	262.2m					
568.4u	260.7m					
584.8u	263m					
594.6u	264.6m					
594.6u	262.9m					
581.5u	262.6m					
607.7u	264.4m					
558.5u	262.5m					
561.8u	261.9m					
578.2u	261.1m					
545.4u	260.1m					
568.4u	261.4m					
545.4u	267.5m					
552u	268m					
538.8u	269.2m					
532.3u	269.8m					
529u	270.2m					
532.3u	271m					
529u	270.9m					
522.4u	265.3m					
512.6u	268.6m					
512.6u	270.1m					
512.6u	270.9m					
506u	271.8m					
496.2u	274.5m					
489.6u	270.5m					
483.1u	273.5m					
489.6u	273.2m					
476.5u	269.6m					
476.5u	267.5m					
476.5u	270.3m					
476.5u	268.2m					
473.2u	272.8m					
463.4u	272.6m					
456.8u	272.3m					
456.8u	274.2m					
463.4u	274.6m					
447u	272.5m					
453.6u	271.3m					
420.8u	270.5m					
443.7u	271.7m					
433.9u	277m					
433.9u	277.6m					
417.5u	278.2m					
456.8u	280m					
407.6u	278.8m					
420.8u	280.6m					
410.9u	281m					
397.8u	275.3m					
410.9u	280.4m					
404.4u	279.3m					
401.1u	281.3m					
388u	283.4m					
388u	282.4m					
381.4u	280.5m					
378.1u	283.9m					
378.1u	281m					
368.3u	279.6m					
381.4u	276.4m					
348.6u	276.4m					
365u	278.7m					
348.6u	280.7m					
345.3u	282.4m					
342.1u	285m					
351.9u	281.5m					
351.9u	285.6m					
328.9u	285.3m					
335.5u	282.3m					
319.1u	283.8m					
325.7u	284.4m					
325.7u	285m					
315.8u	289.4m					
309.3u	289.4m					
302.7u	291.5m					
306u	288.5m					
296.1u	291.5m					
289.6u	290.7m					
279.7u	286.3m					
289.6u	288.5m					
292.9u	287.6m					
283u	289.3m					
269.9u	292.5m					
286.3u	292.6m					
253.5u	293.4m					
269.9u	290.2m					
256.8u	292.6m					
256.8u	291.3m					
256.8u	285.2m					
250.2u	290.1m					
243.7u	287.3m					
233.8u	291m					
233.8u	293.1m					
230.5u	294.5m					
230.5u	295.4m					
220.7u	295.6m					
207.6u	298.3m					
224u	296.1m					
210.9u	292.7m					
210.9u	298.5m					
207.6u	296.6m					
204.3u	302.6m					
187.9u	300.4m					
207.6u	303.9m					
187.9u	300.4m					
178.1u	304.7m					
181.3u	302.5m					
174.8u	299.7m					
171.5u	298.7m					
171.5u	299m					
158.4u	300m					
158.4u	300.7m					
161.7u	301.6m					
148.5u	301.5m					
151.8u	300.3m					
142u	303.3m					
142u	300.7m					
138.7u	301.4m					
138.7u	298.2m					
135.4u	303.8m					
132.1u	304.3m					
132.1u	309.1m					
105.9u	309.1m					
112.5u	308.6m					
105.9u	310.9m					
105.9u	311m					
105.9u	311.2m					
99.4u	305m					
96.1u	310.1m					
83u	307.6m					
79.7u	312.1m					
76.4u	312.8m					
79.7u	314.6m					
73.1u	312.9m					
60u	315.4m					
73.1u	313.6m					
53.4u	312.8m					
50.2u	308.5m					
53.4u	310.8m					
50.2u	311.4m					
40.3u	314.5m					
46.9u	314.9m					
30.5u	315.1m					
37u	315.1m					
33.8u	316.3m					
17.4u	318.1m					
20.6u	315.9m					
14.1u	314.9m					
14.1u	317m					
7.5u	319.5m					
10.8u	321.9m					
959.5n	324.1m					
-2.3u	323.4m					
7.5u	323.3m					
959.5n	322.7m					
-2.3u	321.4m					
959.5n	315.9m					
-25.3u	317.6m					
-25.3u	317.5m					
-28.6u	320m					
-35.1u	321.5m					
-41.7u	325.3m					
-45u	322.7m					
-48.2u	328.1m					
-45u	327m					
-58.1u	328.5m					
-54.8u	322.3m					
-67.9u	328.5m					
-67.9u	327.6m					
-74.5u	332.6m					
-74.5u	332.5m					
-77.8u	334.2m					
-84.3u	333.1m					
-84.3u	334.8m					
-90.9u	335.8m					
-97.4u	333.9m					
-100.7u	329.4m					
-100.7u	328.7m					
-113.8u	328m					
-100.7u	327.1m					
-117.1u	327.9m					
-120.4u	328.2m					
-117.1u	327.2m					
