Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
-7.5m	927.8m					
-7.5m	927.8m					
-7.5m	928m					
-7.5m	927.8m					
-7.5m	927.8m					
-7.5m	923.1m					
-7.5m	921.7m					
-7.5m	921.8m					
-7.5m	921.9m					
-7.5m	921.7m					
-7.5m	921.8m					
-7.5m	921.9m					
-7.5m	921.8m					
-7.5m	921.4m					
-7.5m	917.8m					
-7.5m	917.7m					
-7.5m	917.9m					
-7.5m	917.8m					
-7.5m	917.8m					
-7.5m	917.9m					
-7.5m	917.8m					
-7.5m	917.8m					
-7.5m	922.6m					
-7.5m	930.5m					
-7.5m	930.5m					
-7.5m	930.5m					
-7.5m	930.5m					
-7.5m	930.5m					
-7.5m	930.6m					
-7.6m	930.5m					
-7.5m	930.5m					
-7.5m	931.3m					
-7.5m	931.2m					
-7.5m	931.1m					
-7.5m	931.2m					
-7.5m	931.2m					
-7.5m	931.1m					
-7.6m	931.3m					
-7.5m	931.1m					
-7.6m	934.4m					
-7.6m	936.6m					
-7.6m	936.5m					
-7.6m	936.5m					
-7.6m	936.6m					
-7.6m	936.4m					
-7.6m	936.4m					
-7.6m	936.6m					
-7.6m	936.5m					
-7.6m	936.5m					
-7.5m	936.6m					
-7.6m	936.4m					
-7.6m	936.4m					
-7.6m	936.6m					
-7.6m	936.5m					
-7.6m	936.4m					
-7.6m	936.6m					
-7.6m	932.9m					
-7.6m	929.8m					
-7.6m	929.9m					
-7.6m	929.7m					
-7.6m	929.7m					
-7.6m	929.9m					
-7.6m	929.7m					
-7.6m	929.7m					
-7.6m	930m					
-7.6m	929.8m					
-7.6m	929.8m					
-7.6m	929.9m					
-7.6m	929.7m					
-7.6m	929.8m					
-7.6m	929.9m					
-7.7m	929.7m					
-7.6m	929.8m					
-7.7m	933.7m					
-7.6m	939m					
-7.6m	939.2m					
-7.6m	939.1m					
-7.6m	939.1m					
-7.7m	939.1m					
-7.6m	939.2m					
-7.7m	939.1m					
-7.6m	939.2m					
-7.7m	939.2m					
-7.6m	939.1m					
-7.7m	939.2m					
-7.6m	939.2m					
-7.7m	939.1m					
-7.7m	939.2m					
-7.6m	939.1m					
-7.7m	939.1m					
-7.7m	943.3m					
-7.7m	945.2m					
-7.7m	945.1m					
-7.7m	945.3m					
-7.7m	945.1m					
-7.7m	945.1m					
-7.7m	945.2m					
-7.7m	945.1m					
-7.7m	944.9m					
-7.7m	942m					
-7.7m	941.8m					
-7.7m	941.7m					
-7.7m	941.9m					
-7.7m	941.7m					
-7.7m	941.8m					
-7.7m	942m					
-7.7m	941.7m					
-7.7m	941m					
-7.7m	940.6m					
-7.7m	940.5m					
-7.7m	940.5m					
-7.7m	940.7m					
-7.7m	940.5m					
-7.7m	940.5m					
-7.7m	940.6m					
-7.7m	941.3m					
-7.7m	944.4m					
-7.7m	944.6m					
-7.7m	944.5m					
-7.7m	944.4m					
-7.7m	944.6m					
-7.7m	944.5m					
-7.7m	944.5m					
-7.7m	944.6m					
-7.7m	942.8m					
-7.7m	942.6m					
-7.7m	942.8m					
-7.8m	942.5m					
-7.7m	942.5m					
-7.7m	942.6m					
-7.7m	942.4m					
-7.8m	942.5m					
-7.7m	944.5m					
-7.7m	946.4m					
-7.8m	946.5m					
-7.8m	946.6m					
-7.8m	946.4m					
-7.7m	946.5m					
-7.8m	946.5m					
-7.7m	946.4m					
-7.8m	946.8m					
-7.7m	951.9m					
-7.7m	951.7m					
-7.7m	951.8m					
-7.8m	951.9m					
-7.8m	951.7m					
-7.8m	951.8m					
-7.7m	951.8m					
-7.8m	951.7m					
-7.8m	947.8m					
-7.8m	946m					
-7.8m	945.7m					
-7.8m	945.8m					
-7.8m	945.7m					
-7.8m	945.7m					
-7.8m	945.9m					
-7.8m	945.7m					
-7.8m	948.2m					
-7.8m	954.5m					
-7.8m	954.4m					
-7.8m	954.3m					
-7.8m	954.5m					
-7.8m	954.4m					
-7.8m	954.4m					
-7.8m	954.6m					
-7.8m	954.4m					
-7.8m	959.2m					
-7.8m	959.9m					
-7.8m	959.8m					
-7.8m	959.7m					
-7.8m	959.9m					
-7.8m	959.8m					
-7.8m	959.7m					
-7.8m	959.8m					
-7.9m	966.1m					
-7.8m	967.1m					
