Pressure (psi) - Plot 0	Flow (GPM) - Plot 0	Pressure (psi) - Plot 1	Flow (GPM) - Plot 1	Pressure (psi) - Plot 2	Flow (GPM) - Plot 2	
294.3	1.3					
293.1	1.3					
294.2	1.3					
294.1	1.3					
293.7	1.3					
295	1.3					
294.7	1.3					
293.7	1.3					
294.3	1.3					
293.7	1.3					
293.6	1.3					
294.3	1.3					
294.4	1.3					
293.9	1.3					
294	1.3					
293.2	1.3					
293.5	1.3					
293.7	1.3					
293.5	1.3					
294	1.3					
293.9	1.3					
293.1	1.3					
294.1	1.3					
294.1	1.3					
293.6	1.3					
294.9	1.3					
294.6	1.3					
293.5	1.3					
294.4	1.3					
294.3	1.3					
293.8	1.3					
295.5	1.3					
295.3	1.3					
294.4	1.3					
295.2	1.3					
294.8	1.3					
294.5	1.3					
295.6	1.3					
295.7	1.3					
294.9	1.3					
295.5	1.3					
294.8	1.3					
295.2	1.3					
295.6	1.3					
295.2	1.3					
295.1	1.3					
294.7	1.3					
294	1.3					
294.6	1.3					
295.1	1.3					
294.8	1.3					
295.9	1.3					
295.2	1.3					
294.4	1.3					
295.2	1.3					
295	1.3					
294.3	1.3					
295.5	1.3					
295.1	1.3					
294	1.3					
295	1.3					
294.6	1.3					
294.3	1.3					
295.4	1.3					
294.8	1.3					
293.9	1.3					
295.1	1.3					
294.2	1.3					
294.1	1.3					
295.3	1.3					
295.4	1.3					
295.2	1.3					
295.7	1.3					
295	1.3					
295.2	1.3					
296	1.3					
295.8	1.3					
296	1.3					
295.8	1.3					
294.9	1.3					
295.4	1.3					
295.4	1.3					
294.6	1.3					
296	1.3					
295.6	1.3					
294.5	1.3					
295.2	1.3					
295.2	1.3					
294.4	1.3					
295.8	1.3					
295.2	1.3					
293.7	1.3					
294.5	1.3					
294.1	1.3					
293.4	1.3					
294.6	1.3					
294.4	1.3					
293.6	1.3					
294.2	1.3					
294	1.3					
294.2	1.3					
295	1.3					
294.9	1.3					
294.4	1.3					
294.4	1.3					
293.8	1.3					
294.1	1.3					
294.6	1.3					
294.6	1.3					
295.5	1.3					
295.3	1.3					
294.5	1.3					
295.5	1.3					
295.4	1.3					
294.9	1.3					
296.2	1.3					
295.7	1.3					
294.6	1.3					
295.6	1.3					
295.5	1.3					
294.6	1.3					
295.8	1.3					
295.4	1.3					
